Item,Annual Requirement,Average Unit Cost (Dollars),Lead Time (Weeks)
9,120000,2.21,8
4,113544,25.32,6
48,96000,2.21,8
2,89600,2.49,12
68,77612,53.67,12
79,73684,74.59,8
25,61408,58.87,16
51,58800,34.99,8
6,57360,70.32,4
49,56228,62.34,12
50,48276,38.1,8
10,44000,95.03,10
1,44460,39.25,12
69,40000,2.49,6
76,37444,34.99,6
12,36000,2.49,8
32,35200,34.99,10
59,33840,69.04,8
65,34400,2.12,8
90,30480,69.36,8
11,30000,34.99,6
3,28200,81.45,6
20,28800,34.99,6
42,26320,66.69,8
66,20800,170.95,10
23,24000,96.66,12
92,24120,34.99,8
15,24000,35.17,8
41,23400,34.99,4
19,24000,25.56,4
85,22800,42.62,8
13,20952,36.95,8
5,20400,38.1,12
89,19700,34.99,12
18,20160,69.69,6
35,20000,64.36,8
44,20840,2.36,8
22,18776,36.73,12
84,20000,37.29,4
57,20000,2.49,6
21,19200,2.26,10
16,18800,2.12,8
17,18672,4.01,4
7,16000,2.55,6
27,13640,20.86,12
46,10600,152.88,7
53,13860,59.01,5
64,12788,64.42,10
36,13600,25.51,8
91,13600,37.68,4
80,13840,6.31,8
24,12000,66.02,12
98,13200,34.99,8
47,12000,2.49,5
83,12000,3.66,4
96,11520,2.49,6
45,9112,68.04,8
28,9204,42.81,10
34,8300,69.17,12
60,8712,88.76,8
14,10000,34.3,8
55,10000,35.46,8
30,6000,129.94,10
70,5280,152.88,12
62,8000,3.51,12
86,7608,76.78,10
93,6408,103.66,12
72,3860,165.29,4
82,8000,3.66,10
100,7200,70.76,6
94,7560,69.59,8
40,6000,67,12
43,8000,2.42,8
81,6152,87.98,8
77,8000,3.66,6
52,6000,26.64,12
26,6000,65.24,8
88,6080,34.99,10
97,7440,2.12,8
73,3820,112.32,12
8,5652,41.09,8
39,5600,3.51,10
54,6000,34.99,8
61,4000,104.38,8
38,4400,72.31,8
71,4460,72.56,8
75,4960,68.11,6
56,6400,11.55,8
95,4200,74.31,12
78,4080,64.24,10
31,4000,31.02,10
63,3900,39.37,8
58,4000,48.25,6
37,4000,3.51,10
99,4880,8.51,4
74,3708,36.36,4
87,4000,2.04,8
67,4000,3.66,7
29,4000,3.66,6
33,4000,3.66,6
